iter	RMSE
0	9.03292028
1	8.269976287
2	7.592383905
3	6.978827644
4	6.424320593
5	5.925982062
6	5.48238296
7	5.081808114
8	4.719344345
9	4.401612677
10	4.110621518
11	3.856995637
12	3.621926291
13	3.419774005
14	3.230739541
15	3.066601208
16	2.925636506
17	2.79117123
18	2.675969507
19	2.57485204
20	2.480414686
21	2.398239397
22	2.325686026
23	2.25858771
24	2.201732173
25	2.152136211
26	2.104152929
27	2.057849335
28	2.017977514
29	1.982905221
30	1.95003396
31	1.920728007
32	1.895847108
33	1.869248172
34	1.847057673
35	1.821809734
36	1.800113344
37	1.780654294
38	1.76352833
39	1.744862495
40	1.72956416
41	1.714370017
42	1.70005791
43	1.687400401
44	1.674713221
45	1.660220289
46	1.649017213
47	1.634239629
48	1.623243643
49	1.614241051
50	1.604912313
51	1.593703815
52	1.583835983
53	1.573907596
54	1.564918438
55	1.556588823
56	1.54772099
57	1.539252369
58	1.532432623
59	1.525212202
60	1.516099753
61	1.509513151
62	1.502808866
63	1.493108959
64	1.487448248
65	1.479348339
66	1.472396808
67	1.465133089
68	1.459011199
69	1.453682022
70	1.449784346
71	1.444346301
72	1.438980798
73	1.432851968
74	1.425141418
75	1.421575977
76	1.416642749
77	1.411909519
78	1.407329879
79	1.403409401
80	1.398336765
81	1.392141646
82	1.385650328
83	1.380619936
84	1.372255638
85	1.367800257
86	1.362494169
87	1.358017095
88	1.353386291
89	1.34915385
90	1.344451711
91	1.339888649
92	1.336135771
93	1.330473745
94	1.326029186
95	1.322339062
96	1.318899051
97	1.31500559
98	1.310819681
99	1.30626291
100	1.302684883
101	1.297692601
102	1.292727397
103	1.288801599
104	1.285792367
105	1.282163501
106	1.27786852
107	1.274402178
108	1.271593426
109	1.267619622
110	1.26276787
111	1.259240407
112	1.255881
113	1.253682187
114	1.250127024
115	1.246961963
116	1.243621258
117	1.240483932
118	1.236650015
119	1.232330617
120	1.228764988
121	1.225160128
122	1.221509846
123	1.217813847
124	1.214340885
125	1.211499457
126	1.20877667
127	1.204875623
128	1.201332692
129	1.197273581
130	1.194641015
131	1.191963098
132	1.189909706
133	1.187870965
134	1.18458669
135	1.18203219
136	1.179754297
137	1.177284188
138	1.175129059
139	1.173157671
140	1.170899417
141	1.167919639
142	1.165342897
143	1.162852802
144	1.160183688
145	1.157453293
146	1.154765969
147	1.151959219
148	1.149703036
149	1.146142003
150	1.143651925
151	1.140970461
152	1.138371629
153	1.136386507
154	1.134011223
155	1.130923492
156	1.127782478
157	1.125911589
158	1.12396721
159	1.121691429
160	1.119782979
161	1.116904777
162	1.114623071
163	1.112108052
164	1.108675025
165	1.106492358
166	1.103919152
167	1.10220624
168	1.099582677
169	1.097787897
170	1.094907093
171	1.093156503
172	1.090927725
173	1.089019763
174	1.087157818
175	1.084984874
176	1.082437328
177	1.080223831
178	1.078155176
179	1.076514961
180	1.074009041
181	1.070436372
182	1.069165768
183	1.067099844
184	1.065446741
185	1.063480124
186	1.060463508
187	1.058186543
188	1.055944556
189	1.05362035
190	1.051928291
191	1.049755867
192	1.047687328
193	1.046094938
194	1.044383459
195	1.041665805
196	1.040212768
197	1.038188527
198	1.036019239
199	1.034348018
200	1.032458014
201	1.030486526
202	1.028385952
203	1.02662564
204	1.024106425
205	1.022605776
206	1.020676784
207	1.01947763
208	1.017802791
209	1.015350476
210	1.014034377
211	1.011768538
212	1.009646769
213	1.008236186
214	1.006944769
215	1.005499037
216	1.003126547
217	1.001119884
218	0.9997809486
219	0.9983812055
220	0.9967206955
221	0.9951882794
222	0.9938425707
223	0.9925612228
224	0.9915774981
225	0.9890939083
226	0.9874825306
227	0.9861404478
228	0.9843596911
229	0.98250025
230	0.9806964644
231	0.9792507545
232	0.9779204013
233	0.976587407
234	0.974650053
235	0.9727657208
236	0.970924205
237	0.9694812671
238	0.9681565502
239	0.9663644833
240	0.9653217041
241	0.9637242465
242	0.9621875101
243	0.9607377367
244	0.9595588543
245	0.9581054076
246	0.9564311782
247	0.9553139007
248	0.9543169236
249	0.9533338509
