iter	Passed	Remaining
0	105	105633
1	155	77638
2	195	64993
3	230	57290
4	262	52215
5	299	49675
6	334	47456
7	366	45470
8	397	43728
9	433	42925
10	466	41954
11	500	41235
12	532	40426
13	566	39888
14	596	39189
15	627	38613
16	660	38185
17	696	37986
18	731	37756
19	759	37209
20	790	36862
21	821	36522
22	850	36130
23	884	35960
24	920	35880
25	947	35511
26	977	35235
27	1013	35190
28	1048	35093
29	1076	34821
30	1105	34559
31	1134	34309
32	1160	34013
33	1193	33896
34	1227	33854
35	1268	33957
36	1303	33930
37	1339	33919
38	1374	33879
39	1411	33887
40	1442	33737
41	1475	33649
42	1506	33535
43	1538	33417
44	1569	33312
45	1600	33201
46	1626	32969
47	1655	32841
48	1684	32689
49	1707	32438
50	1737	32339
51	1774	32348
52	1803	32216
53	1834	32136
54	1862	32008
55	1889	31851
56	1917	31728
57	1946	31619
58	1975	31499
59	2001	31355
60	2031	31267
61	2058	31148
62	2085	31017
63	2117	30974
64	2142	30822
65	2178	30830
66	2208	30753
67	2237	30668
68	2265	30573
69	2291	30445
70	2317	30323
71	2342	30187
72	2369	30083
73	2396	29985
74	2429	29967
75	2454	29845
76	2479	29725
77	2507	29645
78	2537	29577
79	2565	29504
80	2593	29429
81	2624	29383
82	2656	29352
83	2686	29300
84	2723	29322
85	2755	29283
86	2788	29260
87	2817	29197
88	2845	29125
89	2876	29086
90	2921	29181
91	2956	29180
92	2988	29144
93	3020	29108
94	3049	29053
95	3077	28982
96	3105	28913
97	3135	28863
98	3170	28851
99	3201	28816
100	3229	28744
101	3257	28677
102	3290	28652
103	3320	28605
104	3352	28576
105	3387	28570
106	3419	28540
107	3450	28496
108	3482	28468
109	3513	28423
110	3544	28384
111	3579	28383
112	3610	28343
113	3635	28251
114	3669	28241
115	3701	28208
116	3729	28145
117	3760	28108
118	3789	28051
119	3823	28039
120	3852	27984
121	3889	27990
122	3920	27955
123	3956	27952
124	3987	27911
125	4016	27859
126	4051	27846
127	4081	27807
128	4114	27779
129	4154	27800
130	4179	27727
131	4214	27715
132	4248	27696
133	4276	27637
134	4304	27582
135	4333	27528
136	4363	27489
137	4395	27457
138	4422	27392
139	4446	27314
140	4472	27244
141	4502	27206
142	4530	27149
143	4559	27105
144	4588	27054
145	4624	27052
146	4651	26992
147	4679	26938
148	4704	26868
149	4739	26858
150	4769	26814
151	4798	26770
152	4833	26755
153	4864	26722
154	4894	26683
155	4927	26658
156	4958	26625
157	4985	26566
158	5014	26522
159	5041	26468
160	5070	26425
161	5117	26474
162	5156	26477
163	5192	26468
164	5231	26475
165	5263	26444
166	5296	26416
167	5328	26389
168	5357	26345
169	5387	26304
170	5427	26313
171	5458	26275
172	5489	26240
173	5518	26199
174	5553	26179
175	5583	26140
176	5621	26140
177	5656	26122
178	5685	26078
179	5715	26035
180	5777	26141
181	5824	26177
182	5857	26149
183	5902	26178
184	5946	26197
185	6038	26425
186	6086	26460
187	6126	26462
188	6162	26445
189	6197	26421
190	6232	26399
191	6264	26361
192	6297	26332
193	6323	26273
194	6357	26244
195	6397	26243
196	6430	26210
197	6461	26170
198	6504	26181
199	6557	26229
200	6596	26222
201	6626	26177
202	6656	26134
203	6685	26088
204	6725	26082
205	6757	26047
206	6790	26011
207	6820	25971
208	6861	25969
209	6900	25959
210	6937	25943
211	6987	25970
212	7016	25925
213	7047	25883
214	7076	25837
215	7108	25800
216	7146	25785
217	7173	25731
218	7201	25681
219	7227	25625
220	7263	25601
221	7290	25549
222	7319	25504
223	7351	25467
224	7379	25417
225	7408	25372
226	7438	25329
227	7466	25280
228	7498	25247
229	7529	25208
230	7563	25178
231	7600	25158
232	7628	25111
233	7656	25063
234	7691	25039
235	7732	25032
236	7764	24996
237	7797	24965
238	7827	24922
239	7864	24903
240	7891	24853
241	7923	24819
242	7960	24798
243	7990	24757
244	8019	24711
245	8049	24672
246	8081	24636
247	8110	24593
248	8137	24542
249	8164	24494
250	8195	24456
251	8228	24423
252	8254	24373
253	8285	24333
254	8315	24295
255	8349	24266
256	8382	24234
257	8413	24198
258	8447	24168
259	8478	24131
260	8514	24107
261	8542	24061
262	8568	24010
263	8596	23964
264	8632	23943
265	8681	23956
266	8726	23958
267	8772	23961
268	8808	23936
269	8834	23886
270	8867	23854
271	8923	23884
272	8949	23833
273	8993	23830
274	9026	23796
275	9069	23790
276	9103	23760
277	9141	23742
278	9179	23723
279	9207	23676
280	9236	23634
281	9263	23586
282	9301	23565
283	9331	23526
284	9363	23489
285	9396	23459
286	9426	23417
287	9462	23394
288	9508	23392
289	9553	23390
290	9604	23400
291	9653	23407
292	9688	23377
293	9722	23348
294	9760	23325
295	9801	23312
296	9834	23277
297	9864	23238
298	9902	23215
299	9934	23181
300	9965	23141
301	9997	23105
302	10030	23073
303	10073	23063
304	10108	23033
305	10191	23114
306	10232	23097
307	10261	23056
308	10296	23024
309	10335	23005
310	10373	22981
311	10415	22966
312	10453	22944
313	10488	22914
314	10523	22884
315	10564	22867
316	10597	22832
317	10632	22803
318	10669	22778
319	10696	22729
320	10728	22694
321	10757	22651
322	10788	22612
323	10815	22565
324	10843	22521
325	10873	22480
326	10904	22441
327	10936	22406
328	10977	22388
329	11015	22365
330	11066	22366
331	11107	22349
332	11139	22312
333	11166	22266
334	11197	22228
335	11229	22190
336	11257	22147
337	11290	22114
338	11323	22078
339	11360	22051
340	11394	22020
341	11434	21998
342	11469	21968
343	11510	21950
344	11544	21918
345	11583	21894
346	11621	21869
347	11677	21879
348	11711	21846
349	11739	21801
350	11772	21767
351	11800	21723
352	11833	21688
353	11869	21661
354	11901	21623
355	11938	21596
356	11970	21561
357	11999	21518
358	12026	21474
359	12054	21429
360	12083	21389
361	12121	21363
362	12154	21329
363	12206	21328
364	12251	21314
365	12290	21290
366	12343	21289
367	12382	21266
368	12418	21236
369	12449	21198
370	12476	21153
371	12513	21124
372	12547	21091
373	12580	21056
374	12606	21010
375	12638	20973
376	12673	20943
377	12708	20911
378	12733	20864
379	12766	20829
380	12804	20802
381	12833	20761
382	12862	20721
383	12898	20691
384	12936	20664
385	12980	20647
386	13022	20626
387	13064	20606
388	13099	20576
389	13134	20543
390	13169	20512
391	13207	20485
392	13242	20452
393	13275	20419
394	13307	20382
395	13341	20348
396	13373	20312
397	13404	20274
398	13438	20241
399	13464	20196
400	13496	20160
401	13523	20116
402	13560	20088
403	13593	20053
404	13631	20026
405	13668	19997
406	13700	19961
407	13733	19927
408	13766	19892
409	13804	19864
410	13836	19828
411	13864	19787
412	13898	19754
413	13929	19716
414	13970	19693
415	14013	19672
416	14053	19647
417	14084	19610
418	14124	19586
419	14165	19561
420	14198	19527
421	14239	19503
422	14280	19479
423	14314	19446
424	14348	19412
425	14393	19393
426	14430	19364
427	14481	19353
428	14523	19330
429	14564	19306
430	14602	19277
431	14641	19250
432	14673	19215
433	14711	19186
434	14758	19169
435	14827	19180
436	14866	19152
437	14900	19119
438	14939	19091
439	14974	19058
440	15009	19025
441	15041	18989
442	15071	18950
443	15104	18914
444	15135	18876
445	15164	18836
446	15194	18797
447	15224	18759
448	15251	18715
449	15283	18679
450	15317	18645
451	15360	18622
452	15399	18594
453	15428	18555
454	15458	18516
455	15489	18479
456	15521	18442
457	15556	18409
458	15594	18381
459	15624	18342
460	15659	18309
461	15696	18278
462	15727	18241
463	15764	18211
464	15796	18174
465	15834	18145
466	15866	18109
467	15903	18078
468	15933	18040
469	15972	18011
470	15998	17968
471	16034	17936
472	16067	17901
473	16101	17867
474	16130	17828
475	16167	17798
476	16198	17760
477	16229	17723
478	16264	17690
479	16298	17656
480	16332	17622
481	16362	17584
482	16399	17553
483	16430	17516
484	16461	17480
485	16493	17443
486	16527	17410
487	16558	17372
488	16585	17331
489	16611	17289
490	16647	17258
491	16679	17221
492	16710	17184
493	16741	17147
494	16774	17113
495	16807	17078
496	16838	17041
497	16867	17002
498	16898	16966
499	16931	16931
500	16973	16905
501	17003	16867
502	17039	16836
503	17067	16796
504	17100	16762
505	17131	16725
506	17164	16690
507	17197	16656
508	17227	16617
509	17255	16578
510	17284	16540
511	17314	16503
512	17347	16468
513	17392	16444
514	17424	16409
515	17455	16373
516	17489	16339
517	17521	16303
518	17553	16268
519	17583	16230
520	17613	16193
521	17642	16155
522	17672	16117
523	17703	16081
524	17738	16048
525	17765	16009
526	17791	15968
527	17824	15933
528	17850	15893
529	17881	15856
530	17911	15820
531	17949	15790
532	17988	15761
533	18019	15725
534	18051	15689
535	18079	15650
536	18108	15613
537	18139	15576
538	18173	15543
539	18203	15506
540	18236	15472
541	18269	15438
542	18309	15409
543	18336	15370
544	18370	15336
545	18398	15298
546	18432	15264
547	18464	15229
548	18494	15192
549	18525	15157
550	18558	15122
551	18587	15085
552	18631	15060
553	18671	15031
554	18704	14997
555	18736	14962
556	18766	14925
557	18799	14891
558	18831	14856
559	18868	14825
560	18901	14790
561	18928	14752
562	18960	14717
563	18992	14682
564	19016	14641
565	19046	14604
566	19074	14566
567	19101	14528
568	19131	14491
569	19168	14460
570	19200	14425
571	19229	14388
572	19260	14352
573	19290	14316
574	19324	14283
575	19354	14247
576	19389	14214
577	19420	14178
578	19454	14145
579	19489	14113
580	19522	14079
581	19554	14044
582	19587	14010
583	19619	13975
584	19652	13941
585	19687	13909
586	19716	13872
587	19743	13833
588	19775	13799
589	19808	13764
590	19838	13729
591	19867	13692
592	19896	13655
593	19930	13622
594	19965	13590
595	19991	13551
596	20018	13513
597	20045	13475
598	20085	13446
599	20116	13411
600	20150	13378
601	20186	13345
602	20223	13314
603	20251	13277
604	20286	13244
605	20319	13210
606	20352	13177
607	20387	13144
608	20422	13111
609	20461	13082
610	20488	13044
611	20521	13010
612	20554	12976
613	20587	12942
614	20620	12909
615	20654	12875
616	20689	12843
617	20726	12811
618	20756	12775
619	20791	12743
620	20826	12710
621	20855	12674
622	20887	12639
623	20915	12602
624	20945	12567
625	20975	12531
626	21000	12493
627	21032	12458
628	21061	12422
629	21096	12389
630	21127	12355
631	21166	12324
632	21199	12291
633	21236	12259
634	21278	12230
635	21321	12202
636	21350	12166
637	21394	12139
