iter	RMSE
0	9.023567766
1	8.25422682
2	7.570556269
3	6.955284063
4	6.408731671
5	5.919314955
6	5.468924622
7	5.065633058
8	4.704239782
9	4.383539055
10	4.095179881
11	3.835440699
12	3.605664445
13	3.404403092
14	3.224527923
15	3.055323676
16	2.908032024
17	2.779806678
18	2.664660721
19	2.561643182
20	2.467458683
21	2.384581745
22	2.309252848
23	2.242519842
24	2.183417495
25	2.130757993
26	2.084043609
27	2.038861722
28	1.999626614
29	1.963575834
30	1.931291983
31	1.902183319
32	1.874922668
33	1.848315423
34	1.825049958
35	1.800352295
36	1.781075997
37	1.761310929
38	1.745526029
39	1.726685004
40	1.712037513
41	1.697998881
42	1.683307939
43	1.670523493
44	1.65903266
45	1.647252451
46	1.634229478
47	1.619222273
48	1.610410274
49	1.598606683
50	1.589453029
51	1.579724441
52	1.570127437
53	1.560230096
54	1.551049505
55	1.543041553
56	1.530373213
57	1.522577991
58	1.514433204
59	1.507334541
60	1.498724675
61	1.489780152
62	1.48248653
63	1.47422749
64	1.468402312
65	1.46152424
66	1.454146244
67	1.449073442
68	1.443183395
69	1.438122753
70	1.432873988
71	1.427930973
72	1.423004826
73	1.4184317
74	1.412310989
75	1.406697643
76	1.401185304
77	1.395886655
78	1.389194674
79	1.385570859
80	1.38072335
81	1.373789545
82	1.369298525
83	1.363741161
84	1.360462483
85	1.356651877
86	1.351773509
87	1.346746368
88	1.342205421
89	1.336845524
90	1.333471718
91	1.328908018
92	1.324259179
93	1.318627101
94	1.313121864
95	1.309341117
96	1.306092098
97	1.301754798
98	1.298232775
99	1.294199814
100	1.289631031
101	1.286390271
102	1.282510617
103	1.278368961
104	1.273882337
105	1.270352424
106	1.267251899
107	1.26311701
108	1.259843793
109	1.25656799
110	1.253426515
111	1.251020687
112	1.247712455
113	1.244820342
114	1.241163388
115	1.238651258
116	1.234876051
117	1.231186753
118	1.228404683
119	1.224859321
120	1.22115218
121	1.21791495
122	1.215528942
123	1.212173462
124	1.208939753
125	1.205081496
126	1.201543324
127	1.198622887
128	1.195194715
129	1.191554838
130	1.188339706
131	1.185747828
132	1.182603488
133	1.180315413
134	1.177847203
135	1.172908267
136	1.169594311
137	1.166561496
138	1.163531912
139	1.160704492
140	1.158896593
141	1.155268079
142	1.15162879
143	1.149193395
144	1.14696198
145	1.144331194
146	1.141687146
147	1.139473331
148	1.137229753
149	1.134589794
150	1.132324603
151	1.129761146
152	1.12774232
153	1.125044393
154	1.121663661
155	1.119739539
156	1.116178249
157	1.114320427
158	1.111928796
159	1.110037256
160	1.106286519
161	1.104085036
162	1.101881556
163	1.099649356
164	1.096801877
165	1.094272399
166	1.092322683
167	1.090124841
168	1.088574713
169	1.086517436
170	1.083943735
171	1.081269208
172	1.078292043
173	1.075675648
174	1.073234491
175	1.070855628
176	1.069127881
177	1.06678666
178	1.065161267
179	1.062613531
180	1.061163195
181	1.059520663
182	1.056968369
183	1.054720619
184	1.053172835
185	1.051330699
186	1.047297823
187	1.04551771
188	1.043120454
189	1.04114683
190	1.039633549
191	1.037880997
192	1.035423551
193	1.033611565
194	1.031510526
195	1.029768524
196	1.028220119
197	1.026937704
198	1.025140344
199	1.023090279
200	1.021848763
201	1.019655883
202	1.018091937
203	1.016557408
204	1.014972833
205	1.013253893
206	1.012095416
207	1.009948244
208	1.008651323
209	1.006665277
210	1.005077168
211	1.003293166
212	1.0015194
213	0.9995833028
214	0.9977853649
215	0.996165866
216	0.994506262
217	0.9930948605
218	0.9917043314
219	0.990333846
220	0.9883577742
221	0.9869213262
222	0.9856984507
223	0.9843715116
224	0.9830870351
225	0.9817102656
226	0.9801047632
227	0.979163857
228	0.9780598033
229	0.9764870572
230	0.975102647
231	0.973809816
232	0.9721740739
233	0.9703959832
234	0.9688524024
235	0.9670872184
236	0.9657233652
237	0.9649145706
238	0.9628647821
239	0.9615369743
240	0.9598619726
241	0.9586898303
242	0.9569523402
243	0.9558269493
244	0.9547371494
245	0.9532229046
246	0.9523184297
247	0.9509799132
248	0.9496522428
249	0.948010643
250	0.9460914765
251	0.9450215001
252	0.943897142
253	0.9418843342
254	0.9403434014
255	0.9389422324
256	0.9372322107
257	0.9361760508
258	0.934820982
259	0.9334454613
260	0.9319819435
261	0.9305127947
262	0.9291467497
263	0.9277077497
264	0.9264250117
265	0.924757901
266	0.9234283022
267	0.9220734648
268	0.9204849649
269	0.9189872306
270	0.9178999016
271	0.9169278949
272	0.9158727351
273	0.9145669573
274	0.913413359
275	0.9122977153
276	0.9112711982
277	0.9099928039
278	0.9089399958
279	0.9077940433
280	0.906613477
281	0.904937219
282	0.9033083044
283	0.9021547582
284	0.9011371731
285	0.8998978752
286	0.8986028929
287	0.8976880353
288	0.8966133318
289	0.8954744859
290	0.8942283848
291	0.8929695555
292	0.892207494
293	0.8914145462
294	0.8904022961
295	0.8892006826
296	0.8872489431
297	0.8857805058
298	0.8845473267
299	0.8835374126
300	0.8828496959
301	0.8818353651
302	0.8809465273
303	0.88036331
304	0.8790989005
305	0.8781782401
306	0.8770618633
307	0.876263574
308	0.8755747913
309	0.8745785268
310	0.8737046287
311	0.8726885919
312	0.8717211503
313	0.8705530731
314	0.8694721205
315	0.868385223
316	0.8672945705
317	0.8663087556
318	0.865345756
319	0.8643046403
320	0.8634321402
321	0.8625975693
322	0.8616365993
323	0.8608880346
324	0.8599270259
325	0.858952981
326	0.8575914597
327	0.8567485069
328	0.8557314821
329	0.855108806
330	0.8544988107
331	0.8536017557
332	0.8526767453
333	0.8518242322
334	0.8509520871
335	0.849903714
336	0.8493627952
337	0.8484584732
338	0.8473496111
339	0.8464468291
340	0.8454735768
341	0.8446260484
342	0.8436331822
343	0.8427149121
344	0.8419199178
345	0.8408586664
346	0.8400884599
347	0.8391431775
348	0.8379210684
349	0.8373629991
350	0.8363368268
351	0.8355845767
352	0.8345371997
353	0.833645482
354	0.832754739
355	0.832181795
356	0.8314581695
357	0.8308315563
358	0.8299722515
359	0.8291364473
360	0.8283092468
361	0.8275150807
362	0.8266453342
363	0.82597459
364	0.8252620583
365	0.824338463
366	0.8236133864
367	0.8229572973
368	0.8220259932
369	0.8211386116
370	0.8206529536
371	0.8198315184
372	0.8186883563
373	0.8178760102
374	0.8173816163
375	0.8167592913
376	0.8160511582
377	0.8153462551
378	0.8145690059
379	0.8138127
380	0.8132365234
381	0.8126273146
382	0.8118833559
383	0.8112104248
384	0.8106326366
385	0.8100938751
386	0.8092445933
387	0.8085135752
388	0.8077471623
389	0.8069460689
390	0.806387757
391	0.8058224623
392	0.8049397197
393	0.8043884194
394	0.8039953609
395	0.8034369513
396	0.8025188743
397	0.8017466164
398	0.8007614635
399	0.7999181261
400	0.7992044467
401	0.7986084272
402	0.7978760025
403	0.7970920973
404	0.7961941061
405	0.7955170396
406	0.7948183771
407	0.7942840791
408	0.7937243945
409	0.7928562711
410	0.7923887421
411	0.7916743792
412	0.7909880063
413	0.7903149246
414	0.7891561071
415	0.787961279
416	0.7870503541
417	0.7863836758
418	0.7855189214
419	0.7841334442
420	0.7833456176
421	0.7825921748
422	0.7818772166
423	0.7812122642
424	0.7805535053
425	0.780030027
426	0.779266021
427	0.7787038331
428	0.7781267969
429	0.7774253514
430	0.7768741732
431	0.7760353928
432	0.7754766045
433	0.7749255413
434	0.7742736618
435	0.7732900436
436	0.7726550178
437	0.7719400718
438	0.7712103543
439	0.7707972505
440	0.7701971587
441	0.7695799282
442	0.7690885326
443	0.7685352946
444	0.7677900194
445	0.7664297254
446	0.7658824591
447	0.7654661374
448	0.7649189231
449	0.7641825208
450	0.7636645439
451	0.7631492797
452	0.7625385554
453	0.7620155877
454	0.7613381944
455	0.7607986771
456	0.7602167397
457	0.7596686526
458	0.7591577521
459	0.7584362184
460	0.7577709221
461	0.7572567503
462	0.7566104985
463	0.7561761767
464	0.7558570403
465	0.7554163061
466	0.7549055403
467	0.7543563864
468	0.7539043754
469	0.7532656977
470	0.7527495803
471	0.7523276229
472	0.7518300641
473	0.750945759
474	0.750386964
475	0.7497562485
476	0.7491633154
477	0.7485193404
478	0.7477588715
479	0.7471841936
480	0.7466215663
481	0.7459603655
482	0.7454054531
483	0.7449857907
484	0.7443017384
485	0.7426019197
