iter	Passed	Remaining
0	111	111536
1	165	82523
2	204	67864
3	289	72060
4	331	65889
5	412	68265
6	508	72152
7	581	72146
8	679	74873
9	748	74087
10	816	73447
11	870	71640
12	948	72030
13	1026	72307
14	1121	73627
15	1212	74557
16	1293	74788
17	1338	73014
18	1392	71900
19	1434	70266
20	1465	68310
21	1535	68248
22	1590	67561
23	1635	66496
24	1715	66922
25	1788	67003
26	1842	66404
27	1896	65842
28	1998	66920
29	2094	67735
30	2159	67511
31	2214	66980
32	2291	67157
33	2327	66121
34	2366	65257
35	2453	65701
36	2521	65618
37	2625	66457
38	2669	65772
39	2707	64984
40	2785	65145
41	2856	65155
42	2909	64743
43	2975	64645
44	3042	64572
45	3100	64299
46	3155	63985
47	3250	64473
48	3300	64057
49	3384	64312
50	3420	63651
51	3479	63432
52	3549	63421
53	3618	63386
54	3671	63086
55	3720	62720
56	3786	62642
57	3832	62237
58	3881	61912
59	3960	62052
60	4004	61640
61	4096	61978
62	4163	61929
63	4222	61747
64	4291	61735
65	4345	61493
66	4463	62155
67	4504	61741
68	4553	61440
69	4638	61623
70	4673	61147
71	4707	60671
72	4743	60241
73	4789	59936
74	4859	59937
75	4908	59675
76	4994	59870
77	5039	59564
78	5093	59381
79	5155	59284
80	5200	59006
81	5254	58825
82	5309	58655
83	5403	58927
84	5477	58960
85	5519	58658
86	5581	58577
87	5631	58367
88	5695	58298
89	5760	58243
90	5798	57925
91	5883	58070
92	5945	57982
93	5990	57737
94	6057	57707
95	6162	58026
96	6207	57791
97	6259	57613
98	6323	57554
99	6377	57400
100	6440	57328
101	6487	57115
102	6557	57105
103	6615	56999
104	6698	57095
105	6755	56974
106	6798	56742
107	6874	56778
108	6954	56845
109	7011	56729
110	7059	56537
111	7155	56731
112	7203	56548
113	7246	56321
114	7310	56255
115	7365	56132
116	7451	56237
117	7524	56246
118	7564	56003
119	7626	55925
120	7672	55737
121	7707	55468
122	7783	55498
123	7838	55373
124	7924	55472
125	8017	55610
126	8113	55772
127	8145	55493
128	8193	55324
129	8242	55163
130	8292	55008
131	8390	55176
132	8455	55122
133	8516	55039
134	8600	55105
135	8666	55057
136	8726	54970
137	8785	54875
138	8850	54824
139	8937	54902
140	9007	54877
141	9070	54803
142	9119	54651
143	9156	54432
144	9189	54183
145	9245	54080
146	9324	54109
147	9393	54075
148	9432	53874
149	9472	53678
150	9503	53433
151	9536	53205
152	9583	53052
153	9609	52790
154	9709	52932
155	9763	52824
156	9825	52759
157	9886	52687
158	9982	52801
159	10057	52802
160	10114	52708
161	10175	52635
162	10233	52547
163	10276	52383
164	10307	52163
165	10366	52084
166	10430	52028
167	10516	52079
168	10587	52062
169	10654	52017
170	10733	52034
171	10817	52076
172	10911	52161
173	10989	52167
174	11058	52132
175	11143	52173
176	11265	52382
177	11323	52293
178	11406	52316
179	11470	52252
180	11550	52265
181	11592	52100
182	11672	52111
183	11728	52013
184	11762	51818
185	11800	51642
186	11876	51634
187	11984	51764
188	12130	52052
189	12235	52160
190	12269	51970
191	12352	51982
192	12425	51953
193	12509	51972
194	12639	52178
195	12758	52334
196	12852	52390
197	12896	52236
198	12990	52288
199	13097	52390
200	13204	52489
201	13288	52495
202	13349	52412
203	13479	52595
204	13544	52526
205	13663	52665
206	13727	52590
207	13779	52467
208	13873	52506
209	13969	52550
210	14133	52848
211	14177	52699
212	14244	52629
213	14302	52531
214	14361	52434
215	14523	52715
216	14707	53070
217	14785	53038
218	14857	52986
219	14962	53049
220	15082	53162
221	15135	53043
222	15193	52940
223	15231	52766
224	15281	52635
225	15330	52505
226	15387	52399
227	15418	52208
228	15474	52101
229	15538	52018
230	15591	51905
231	15631	51744
232	15764	51895
233	15900	52050
234	15967	51979
235	16015	51847
236	16071	51741
237	16137	51668
238	16204	51597
239	16280	51556
240	16347	51483
241	16467	51580
242	16521	51467
243	16580	51372
244	16666	51360
245	16755	51356
246	16811	51250
247	16878	51180
248	16967	51175
249	17005	51016
250	17058	50905
251	17088	50724
252	17126	50567
253	17204	50530
254	17246	50387
255	17270	50192
256	17301	50018
257	17339	49868
258	17398	49777
259	17431	49613
260	17472	49471
261	17536	49395
262	17589	49289
263	17628	49144
